Designator,Center-X(mil),Center-Y(mil),Layer,Rotation
C10,2366.000mil,3756.000mil,TopLayer,180
C29,3026.000mil,2769.000mil,TopLayer,0
C28,3026.000mil,2709.000mil,TopLayer,0
C8,2408.000mil,3258.000mil,BottomLayer,180
GND,1758.000mil,4617.000mil,TopLayer,0
12V,1758.000mil,4355.000mil,TopLayer,0
3.3V,1759.000mil,4876.000mil,TopLayer,0
J3,1272.480mil,3470.961mil,TopLayer,270
C26,2344.000mil,2663.000mil,BottomLayer,180
C25,2324.000mil,2585.000mil,BottomLayer,180
C32,3302.000mil,2426.000mil,BottomLayer,180
R29,2597.000mil,3048.000mil,TopLayer,270
C15,3077.000mil,3094.000mil,TopLayer,90
C14,2635.000mil,3078.000mil,BottomLayer,90
C4,3017.000mil,3094.000mil,TopLayer,270
IC2,2763.000mil,2598.000mil,BottomLayer,180
Y2,2464.000mil,2623.000mil,BottomLayer,90
Y1,2214.000mil,3460.000mil,TopLayer,0
U4,3570.000mil,2548.000mil,BottomLayer,90
U3B,1725.000mil,4115.000mil,BottomLayer,0
U3A,2175.000mil,4115.000mil,BottomLayer,0
U2,2830.000mil,3500.000mil,TopLayer,0
U1,2033.110mil,4725.000mil,BottomLayer,0
SDA,2560.000mil,4005.000mil,TopLayer,0
SCL,2460.000mil,4155.000mil,TopLayer,0
SW1,3380.000mil,4480.000mil,TopLayer,270
R48,3407.000mil,3654.000mil,TopLayer,0
R47,3549.000mil,3648.000mil,TopLayer,180
R46,2385.000mil,4770.000mil,TopLayer,180
R45,2390.000mil,4880.000mil,TopLayer,180
R44,3255.000mil,4205.000mil,TopLayer,0
R43,2385.000mil,4545.000mil,TopLayer,180
R42,2385.000mil,4655.000mil,TopLayer,180
R41,1800.394mil,3979.567mil,TopLayer,270
R40,3891.000mil,2708.000mil,TopLayer,0
R39,3341.000mil,3082.000mil,TopLayer,270
R38,3343.000mil,2993.000mil,TopLayer,90
R37,3300.000mil,2489.000mil,BottomLayer,180
R36,3313.000mil,2733.000mil,BottomLayer,180
R35,3328.000mil,3417.000mil,BottomLayer,270
R34,3285.000mil,2368.000mil,BottomLayer,180
R33,3309.000mil,2609.000mil,BottomLayer,180
R32,2659.000mil,2443.000mil,TopLayer,270
R31,2712.000mil,2446.000mil,TopLayer,90
R30,2752.000mil,2444.000mil,TopLayer,90
R28,2506.000mil,3169.000mil,TopLayer,270
R27,2652.000mil,3071.000mil,TopLayer,270
R26,2448.000mil,3197.000mil,TopLayer,270
R25,2550.000mil,3313.000mil,BottomLayer,90
R24,2339.000mil,3566.000mil,BottomLayer,90
R23,2955.000mil,3096.000mil,TopLayer,270
R22,2435.000mil,3317.000mil,TopLayer,270
R21,2880.000mil,3097.000mil,TopLayer,270
R20,2646.000mil,3636.000mil,BottomLayer,270
R19,2824.000mil,3070.000mil,TopLayer,270
R18,2419.000mil,3418.000mil,TopLayer,270
R17,2766.000mil,3070.000mil,TopLayer,270
R16,3201.000mil,3177.000mil,TopLayer,270
R15,2708.000mil,3070.000mil,TopLayer,270
R14,3142.000mil,3111.000mil,TopLayer,270
R12,2045.000mil,3960.000mil,TopLayer,90
R11,2375.000mil,4015.000mil,TopLayer,0
R9,2630.000mil,4150.000mil,TopLayer,0
R8,2250.000mil,4325.000mil,TopLayer,90
R6,2660.000mil,4235.000mil,TopLayer,180
R5,2447.000mil,3492.000mil,TopLayer,180
R4,3465.000mil,4205.000mil,TopLayer,180
R3,1695.000mil,3525.000mil,TopLayer,90
R2,1793.855mil,3705.000mil,TopLayer,0
R1,2138.000mil,4903.000mil,BottomLayer,180
J5,3865.165mil,3852.504mil,TopLayer,0
